"","ITER_CNT","ACT_HIGH","ACT_LOW","VER_HIGH","VER_LOW","PLS_SND","PLS_REC","ACT_DUR","VER_DUR","VER_DEL","REC_SND_DIFF"
"72",71,22120.796502,22244.829222,22120.796507,22244.829226,21953791.263,10000000,124.032719999999,124.032719000003,4.99999805469997e-06,45.5502190041024
"73",72,22245.829563,22372.334511,22245.829567,22372.334517,22391376.15,10000000,126.504948000002,126.504949999999,4.00000135414302e-06,44.6600509634152
"74",73,22373.335088,22498.571197,22373.335092,22498.571201,22166791.293,10000000,125.236109000001,125.236108999998,4.00000135414302e-06,45.1125283213988
"75",74,22499.571796,22624.687971,22499.5718,22624.687974,22145562.798,10000000,125.116174999999,125.116173999999,4.00000135414302e-06,45.155772699094
"76",75,22625.688527,22754.028508,22625.688531,22754.028512,22716176.637,10000000,128.339981000001,128.339981000001,4.00000135414302e-06,44.0214925240194
"77",76,22755.029347,22893.458573,22755.029351,22893.458578,24501973.179,10000000,138.429226,138.429227000001,4.00000135414302e-06,40.813039533366
"78",77,22894.459103,23020.597639,22894.459106,23020.597645,22326521.403,10000000,126.138535999999,126.138539000003,2.99999737762846e-06,44.7897808149204
"79",78,23021.597927,23159.039137,23021.59793,23159.039142,24327094.524,10000000,137.441210000001,137.441212000002,3.00000101560727e-06,41.1064296648104
"80",79,23160.039447,23286.847789,23160.039451,23286.847795,22445076.888,10000000,126.808342,126.808344000001,4.00000135414302e-06,44.5532000175343
"81",80,23287.848344,23414.965276,23287.848347,23414.965281,22499697.318,10000000,127.116931999997,127.116934000001,2.99999737762846e-06,44.4450423428581
"82",81,23415.965444,23543.211248,23415.965448,23543.211254,22522507.662,10000000,127.245803999998,127.245806000003,3.99999771616422e-06,44.400029295459
"83",82,23544.211378,23671.360499,23544.211381,23671.360503,22505394.594,10000000,127.149120999999,127.149121999999,3.00000101560727e-06,44.4337910105608
"84",83,23672.360654,23800.541972,23672.360658,23800.541975,22688093.109,10000000,128.181317999999,128.181316999999,4.00000135414302e-06,44.075982727844
"85",84,23801.542176,23927.194884,23801.542179,23927.194889,22240529.67,10000000,125.652708000001,125.652709999998,3.00000101560727e-06,44.9629579348053
"86",85,23928.195574,24055.098547,23928.195578,24055.098551,22461826.221,10000000,126.902973,126.902973,3.99999771616422e-06,44.5199775904722
"87",86,24056.099084,24183.339456,24056.099088,24183.339461,22521546.021,10000000,127.240372,127.240373000001,3.99999771616422e-06,44.4019251195082
"88",87,24184.339995,24311.204085,24184.339999,24311.204089,22454943.93,10000000,126.864090000003,126.864089999999,4.00000135414302e-06,44.5336226675673
"89",88,24312.204425,24439.818456,24312.204429,24439.81846,22587683.487,10000000,127.614031000001,127.614030999997,4.00000135414302e-06,44.2719148502118
"90",89,24440.819021,24570.086798,24440.819025,24570.086801,22880396.352,10000000,129.267777000001,129.267776000001,4.00000135414302e-06,43.7055365919214
"91",90,24571.087596,24706.371557,24571.087599,24706.371561,23945261.274,10000000,135.283960999997,135.283962000001,2.99999737762846e-06,41.7619164208415
"92",91,24707.372118,24844.070332,24707.372122,24844.070336,24195583.878,10000000,136.698214,136.698214,4.00000135414302e-06,41.32985610276
"93",92,24845.070837,24983.772304,24845.070841,24983.772309,24550159.836,10000000,138.701466999999,138.701467999999,4.00000135414302e-06,40.7329323589012
"94",93,24984.773002,25122.888051,24984.773006,25122.888055,24446363.673,10000000,138.115049,138.115049,3.99999771616422e-06,40.9058792291656
"95",94,25123.888487,25258.683821,25123.888491,25258.683826,23858774.295,10000000,134.795333999999,134.795334999999,4.00000135414302e-06,41.9133014812738
"96",95,25259.684539,25384.191582,25259.684543,25384.191589,22037747.142,10000000,124.507042999998,124.507045999999,3.99999771616422e-06,45.3766890760889
"97",96,25385.192208,25510.043564,25385.192212,25510.043569,22098690.189,10000000,124.851355999999,124.851357,4.00000135414302e-06,45.2515507230273
"98",97,25511.044091,25637.079311,25511.044094,25637.079315,22308234.117,10000000,126.035220000002,126.035220999998,3.00000101560727e-06,44.8264974607716
"99",98,25638.079839,25765.336516,25638.079843,25765.336523,22524432.36,10000000,127.256676999998,127.256680000002,3.99999771616422e-06,44.3962353420213
"100",99,25766.337285,25895.588872,25766.337289,25895.588877,22877531.076,10000000,129.251586999999,129.251587999999,3.99999771616422e-06,43.7110104529183
